,id,text,favorite_count,retweet_count,created_at
0,1028954403129184256,Gotta love the facts. https://t.co/bZ2G8AZuo9,0,0,2018-08-13 10:40:21+00:00
1,1028954356572250112,RT @ToolangiForest: A great day of action for our message of “Dear Dan”! Toolangi community &amp; friends joined together to respectfully ask @…,0,35,2018-08-13 10:40:10+00:00
2,1028954497341480960,@jonkudelka Harvey Norman reckons climate change is bunkum because his mates who own coal companies need people to buy polluting stuff,2,0,2018-08-13 10:40:43+00:00
3,1028954494133043200,RT @jayrosen_nyu: Why does skepticism about immigration walk hand in hand with skepticism about the science of climate change? I know we're…,0,52,2018-08-13 10:40:43+00:00
4,1028954811511844864,RT @FranceinIreland: On 5th November we call all creative citizens w/ practical solutions to fight against #climatechange to join us for a…,0,16,2018-08-13 10:41:58+00:00
5,1028954782457909250,RT @jayrosen_nyu: Why does skepticism about immigration walk hand in hand with skepticism about the science of climate change? I know we're…,0,52,2018-08-13 10:41:51+00:00
6,1028954810781814784,"You send me crap
It's 5 minutes to midnight for a mute https://t.co/FFhYHCitKb",0,0,2018-08-13 10:41:58+00:00
7,1028954742255321088,"#Alaska's #NorthSlope hit by strongest #quake noted in region
https://t.co/SP6jhzltFK
You want to know WHY?
BC the… https://t.co/ghqxbCVfqP",0,0,2018-08-13 10:41:42+00:00
8,1028954548340174848,RT @DailySignal: Many on the left claim #climatechange is responsible for the #CAwildfires ... but experts say misguided environmentalist p…,0,99,2018-08-13 10:40:56+00:00
9,1028954335898750976,"RT @business: Facing $17 billion in fire damages, a CEO blames climate change https://t.co/XoFatCUWX8",0,44,2018-08-13 10:40:05+00:00
10,1028954314998509570,"In the latest edition of The Ripon Forum, @ColoradoStateU professor @airscottdenning explains why ""The Science is S… https://t.co/S4ThN7b5jg",7,4,2018-08-13 10:40:00+00:00
11,1028954636781154305,We're dangerously unprepared for the heat crisis from climate change! #climatechange #HeatWave2018 #future  https://t.co/OIjIz1qCDN,0,0,2018-08-13 10:41:17+00:00
12,1028954283822260225,An eye-opening article. This further reinforces the need to switch to a more enviroment friendly lifestyle.… https://t.co/FjN7yjEzOp,0,0,2018-08-13 10:39:52+00:00
13,1028954321864601600,@GeneMcVay Help save the Sasquatch and nip global warming in the bud!,6,6,2018-08-13 10:40:02+00:00
14,1028954895095803905,#outsiders Turnbull/Jetlag Jules/little L Liberals R Fabian Socialists enacting UN Global Socialist Soros NWO level… https://t.co/ChpUQoDddy,3,3,2018-08-13 10:42:18+00:00
15,1028954429284790272,"RT @EddyJokovich: Climate change shows Australian politics at its worst. Opportunists, idiots, morons, MPs acting in bad faith, price gougi…",0,194,2018-08-13 10:40:27+00:00
16,1028954680934719488,RT @wwreserve: Understand what is #ClimateChange and how #nature and #manmade changes occur? - #Water - https://t.co/GycD1Pd3yq,0,1,2018-08-13 10:41:27+00:00
17,1028954312234422273,"RT @KateAronoff: The scene in Jurassic Park when Newman loses his glasses and then says, ""I can afford more glasses"" immediately before bei…",0,7960,2018-08-13 10:39:59+00:00
18,1028954799323078657,We're dangerously unprepared for the heat crisis from climate change @CNN https://t.co/RHjiP8N5fF,0,0,2018-08-13 10:41:55+00:00
