,0
climate,65828
change,57025
deal,20230
global,14474
warming,11749
new,6679
trump,6572
world,6101
people,6098
us,5185
one,5031
like,4921
problem,4575
need,4380
science,4196
real,4070
time,3935
must,3776
believe,3647
president,3474
planet,3433
ca,3370
fight,3364
lying,3337
could,3280
help,3249
via,3174
today,3106
year,3066
get,2825
energy,2748
secretary,2669
earth,2667
think,2639
would,2619
weather,2557
first,2546
everything,2511
glasses,2496
take,2443
last,2412
history,2372
action,2346
news,2345
carbon,2284
another,2258
record,2233
going,2229
know,2223
want,2200
make,2158
coal,2155
much,2104
water,2089
report,2088
see,2082
government,2078
environmental,2070
mitigate,2065
walker,2056
power,2051
stop,2046
say,2019
good,2016
great,1998
read,1982
environment,1977
heat,1975
bigger,1962
still,1908
day,1900
park,1897
future,1887
pace,1881
said,1849
right,1836
fossil,1810
saying,1755
around,1754
many,1745
really,1742
extreme,1705
care,1700
arctic,1688
big,1684
policy,1671
even,1655
way,1640
national,1621
also,1611
let,1604
health,1589
go,1576
human,1567
threat,1552
oil,1551
un,1537
may,1536
save,1531
met,1514
fire,1502
next,1499
address,1498
study,1489
explain,1489
truth,1487
wildfire,1483
every,1453
well,1444
times,1442
join,1422
effects,1413
nothing,1379
afford,1377
fuel,1368
order,1360
speak,1354
country,1351
important,1339
immediately,1319
million,1319
latest,1299
tax,1276
talk,1271
please,1266
media,1262
scene,1257
denial,1257
act,1251
sea,1242
food,1233
two,1224
thanks,1224
already,1213
due,1200
look,1195
back,1190
ice,1186
summer,1185
making,1177
thing,1170
left,1165
de,1164
among,1151
air,1142
issue,1134
impact,1130
yet,1128
blame,1125
plan,1120
work,1113
different,1110
green,1098
public,1098
yes,1090
hot,1080
support,1077
solar,1064
york,1062
trying,1059
pollution,1050
got,1049
story,1049
interior,1041
everyone,1039
gas,1038
week,1027
criticize,1024
taking,1020
away,1018
article,1015
use,1013
administration,1000
end,992
billion,988
state,988
made,988
biggest,984
crisis,981
worse,979
something,978
research,974
ever,966
since,963
across,962
nature,953
bill,949
drought,946
result,941
money,938
live,935
almost,934
best,913
economy,912
show,905
bad,902
clean,899
city,897
understand,893
rising,886
ago,885
call,881
movement,874
start,871
cold,869
temperature,864
risk,861
never,860
face,854
come,851
talking,849
industry,848
canada,845
boost,841
cause,839
protect,837
instead,835
learn,834
debate,825
life,825
love,823
capitalism,822
less,820
greenhouse,808
stopped,806
put,805
deny,803
part,801
better,795
young,793
man,792
tell,791
keep,788
afforestation,785
ocean,785
major,781
fighting,780
tackle,779
forest,777
cost,775
pass,773
video,771
warn,771
thought,770
find,766
business,763
riparian,763
top,763
serious,763
revitalize,762
generation,760
point,759
combat,756
mean,752
long,751
natural,751
reduce,750
happening,748
fact,743
without,740
actually,740
humanity,740
rise,739
believing,738
vote,738
allow,736
party,730
meet,728
la,726
needs,724
far,723
political,720
reality,717
longer,715
minister,714
wo,704
eu,700
enough,700
daily,699
evidence,699
old,695
conference,693
oh,687
together,677
responsible,677
facing,677
getting,677
damage,676
class,671
living,668
extinction,666
piece,663
species,662
give,655
scientist,650
remember,650
broad,649
house,646
working,645
data,642
hope,642
thank,642
wait,641
politics,637
hard,636
die,634
scientific,634
watch,634
catastrophic,630
coming,629
cut,625
dead,623
agriculture,623
age,623
high,622
reminder,620
days,619
matter,616
message,609
economic,608
law,607
wrong,607
according,607
case,604
security,603
lot,602
court,602
hoax,602
provide,600
renewable,599
white,598
maybe,596
hey,593
comes,592
quite,589
warning,588
glacier,588
governor,583
guardian,582
en,580
lead,579
anyone,579
land,578
three,573
farmer,569
small,569
hear,562
middle,562
worst,557
clear,557
seen,556
half,554
ask,553
disaster,553
soon,553
federal,552
finally,550
current,550
past,550
wow,550
always,547
done,547
polar,547
project,545
listen,544
devastating,543
opinion,543
looking,542
set,540
el,540
loss,537
congress,537
agree,537
millions,536
plastic,535
school,534
level,532
link,531
challenge,531
tough,528
hit,526
local,526
become,525
might,524
society,523
increase,523
breaking,522
flooding,521
international,517
united,517
leading,516
war,516
role,514
leadership,512
key,511
feel,510
idea,510
north,510
ban,510
interview,508
dear,504
likely,504
return,503
check,501
interesting,501
continue,497
killing,497
burning,494
question,493
imagine,491
sure,490
person,489
move,489
anything,487
huge,483
causing,482
stupid,482
reef,477
china,475
al,474
thread,472
wildlife,472
home,471
course,471
space,470
demand,470
least,469
growing,466
tackling,466
free,465
candidate,465
giving,464
effect,460
pacific,460
sustainable,459
recent,458
ignore,457
population,456
melting,455
used,455
share,452
fired,450
community,448
adapt,448
front,446
affordable,446
coastal,446
single,443
car,442
illegal,442
system,441
month,438
solution,437
reason,437
decade,435
ways,434
increasing,433
disease,433
running,429
stand,429
control,428
saving,427
post,425
dangerous,424
average,422
spent,421
nobody,421
nuclear,420
little,420
price,419
someone,419
found,418
whether,417
showing,417
island,414
pay,413
bring,412
denier,410
infrastructure,409
rather,409
sweet,409
job,407
tweet,406
dioxide,406
true,406
telling,406
hurricane,406
pretend,406
liberal,401
powerful,401
sign,401
immigration,399
solve,399
inequality,399
often,399
tomorrow,399
confirming,399
west,398
season,398
underwriting,398
group,397
build,396
fake,396
meeting,394
tree,394
industrial,394
massive,393
rich,390
based,389
development,386
leader,386
building,385
plant,381
winter,381
emergency,381
race,380
cabinet,379
danger,379
century,377
figure,377
large,377
agreement,376
entire,376
stormy,375
warm,374
book,373
waste,373
fix,371
fairness,371
difference,370
urgent,368
wind,368
speech,367
nice,365
social,364
conservative,364
e,364
methane,364
god,363
response,363
