,Word,frequency,sentiment,category
4,warming,11749,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}",positive
11,like,4921,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
25,help,3249,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
30,energy,2748,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
49,want,2200,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
63,good,2016,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
64,great,1998,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",positive
82,care,1700,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
98,save,1531,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
105,truth,1487,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
108,well,1444,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
110,join,1422,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
118,important,1339,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
124,please,1266,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
132,thanks,1224,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
154,yes,1090,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
156,support,1077,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
192,best,913,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",positive
196,clean,899,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
213,boost,841,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
